Name 50mm Pzgr. 40 APCR (KwK 38 L/42)
ShortName 44_50APCRShell
Model W44.W44ShellSmall
Texture Skin44_W44Shell_Orange
Colour 255 255 255
Icon 44_50apshell
RoundsPerItem 1
MaxStackSize 5
Damage 1
DamageVsLiving 50
DamageVsVehicles 520
Explosion 1
ExplodeOnImpact True
Fuse 200
FlakParticles 0
Fire 0
BreaksGlass True
HitBoxSize 1.0
HitSound
Penetrates False
SmokeTrail True
Bomb False
Shell True
WeaponType Shell

Mass 925
MuzzleVelocity 1050
FallSpeed 1
PenetrationAt100m 94

ExplodeParticles 6
TrailParticleType flansmod.fmtracer
HasLight True

HasLight True

FlareParticleCount 3
DebrisParticleCount 2

Description Tungsten-cored armour-piercing shot for the 5 cm KwK 38 L/42
